ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;"Seleccione el Comité de Bienestar al cual pertenece (si no lo conoce, por favor consulte con el encargado de bienestar de su unidad):
";Componente / Jefatura:;Componente / Jefatura:2;Componente / Jefatura:3;Componente / Jefatura:4;Componente / Jefatura:5;Componente / Jefatura:6;Componente / Jefatura:7;Componente / Jefatura:8;Componente / Jefatura:9;Componente / Jefatura:10;Componente / Jefatura:11;Componente / Jefatura:12;Componente / Jefatura:13;Componente / Jefatura:14;Componente / Jefatura:15;Componente / Jefatura:16;Seleccione la categoría a la cual pertenece:;Seleccione la categoría a la cual pertenece:2;Grado:;Grado:2;Tiempo en la institución:;Estado civil:;"¿CONOCE EL PROGRAMA DE INCENTIVOS?
Enfocado en reconocer el compromiso y desempeño del personal en el logro de resultados. Ejemplo de actividades relacionadas con el programa: Medallas, condecorac...";Dentro del Programa de Incentivos ¿La entrega de incentivos o reconocimientos que ha recibido usted está acorde a su nivel de compromiso y las labores que desempeña?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).;Dentro del Programa de Incentivos ¿Ha evidenciado o ha sido participe de la entrega de incentivos o reconocimientos por la labor y compromiso a otros tripulantes de la institución?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).2;"¿CONOCE EL PROGRAMA DE RECREACIÓN Y CULTURA?
Orientado a propender por el aprovechamiento del tiempo libre mediante el desarrollo de actividades recreativas y culturales. Ejemplo de actividades re...";¿Valora usted como positivas las actividades del programa de recreación y cultura que se hacen en su unidad?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).3;¿Los tripulantes de su unidad valoran como positivas las actividades del programa de recreación y cultura que se hacen?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).4;"¿CONOCE EL PROGRAMA DE DEPORTES Y CULTURA FÍSICA?
Encaminado a estimular el espíritu deportivo y la práctica de actividades que fortalezcan la cultura física y promuevan hábitos de vida saludable....";¿Las actividades del programa de deporte y cultura física que implementan en su unidad incentivan a la práctica de disciplinas deportivas y a mantener la cultura del entrenamiento físico?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).5;"¿CONOCE EL PROGRAMA DE SERVICIOS EDUCATIVOS (COLEGIOS NAVALES)?
Encaminado a prestar el servicio educativo a los hijos de los tripulantes de la institución a través de los Colegios Navales.";¿Está conforme con el servicio educativo ofrecido por los Colegios Navales? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).6;"¿CONOCE EL PROGRAMA DE ORIENTACIÓN SOCIOFAMILIAR?
  Direccionamiento de estrategias y recursos institucionales para la realización de talleres de proyecto de vida, prevención de violencias, crisis...";¿Los servicios del programa de orientación y/o educación sociofamiliar ofrecidos por las Oficinas de Atención a la Familia son satisfactorios? (Si no es o no ha sido usuario por favor seleccione l...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).7;"¿CONOCE EL PROGRAMA DE SERVICIOS FUNERARIOS?
Facilitar la coordinación de los servicios funerarios y de inhumación del personal en servicio activo, de la reserva y pensionados de la Armada Naciona...";¿El acompañamiento y orientación por parte de la Armada Nacional para la gestión de los servicios funerarios son oportunos? (Si no es o no ha sido usuario por favor seleccione la respuesta de acue...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).8;"¿CONOCE EL PROGRAMA DE VIVIENDAS Y ALOJAMIENTOS MILITARES?
Elevar la calidad de vida de los tripulantes en servicio activo de la Armada Nacional y su familia, mediante la asignación de alojamiento...";¿Está conforme con el servicio de viviendas y alojamientos militares para los tripulantes y sus familias? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).9;"¿CONOCE EL PROGRAMA DE PREPARACIÓN PARA EL RETIRO?
  “Héroes vuelven a casa” (IMP) y Seminario fortalecimiento familiar (OF y S/O), busca facilitar la adaptación del personal militar de la Armada ...";¿El Programa de desvinculación asistida y preparación para el retiro facilita la adaptación del funcionario al nuevo entorno social, familiar y laboral? (Si no es o no ha sido usuario por favor se...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).10;¿Se ha enterado oportunamente de la realización de las actividades de bienestar programadas por su unidad?;¿En el desarrollo de las actividades de bienestar se evidencia el compromiso del personal encargado en su unidad?;¿Se le brinda el tiempo y las facilidades para asistir a las actividades de bienestar en su unidad?;Seleccione ¿Cuál de los siguientes motivos le ha dificultado recibir o participar de los beneficios o actividades de bienestar? ;Le solicitamos nos brinde sugerencias o aportes que nos sirvan para mejorar las actividades enmarcadas dentro de los programas de bienestar en su unidad.
23370;9/09/2024 10:58;9/09/2024 11:03;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;6 a 10 años;Casado (a);NO;1;Poco tiempo en la institución;1;En la unidad no se divulga;SI;3; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;SI;1;La unidad  no las  realiza  ;NO;3;No conozco ;SI;4;;SI;5;;NO;1;No soy militar ;NO;1;No conozco ;3;3;4;Desconocimiento de la realización de las actividades;
23371;9/09/2024 10:56;9/09/2024 11:05;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Suboficial;;;21 años o más;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;1;En Puerto Leguizamo hay falencias en la docencia.;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;Actividades fuera de la Unidad como ciclorutas.
23372;9/09/2024 10:57;9/09/2024 11:06;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;CCON1;;;;;Civil ARC;;;;11 a 15 años;Casado (a);NO;3;Comandante no postula;3;Los encargados no postulan;SI;3; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;SI;3;La unidad  no las  realiza  ;SI;3;Calidad académica;SI;3; No los conoce;SI;4; Desinformación;SI;3;Mala infraestructura;SI;3;Proceso muy corto  ;3;4;4;No he tenido dificultades;la fiesta dé fin de año no es buena 
23373;9/09/2024 11:01;9/09/2024 11:08;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);NO;2;Comandante no postula;2;Los encargados no postulan;NO;2;No asisto por exceso de carga laboral;2;No asisten por exceso de carga laboral;NO;2;No se divulgan;NO;2; Planta física;NO;2; No los conoce;NO;2; Desinformación;NO;2;Poca disponibilidad  ;NO;2; Poca variedad cursos;2;2;2;Exceso de carga laboral ;
23374;9/09/2024 10:58;9/09/2024 11:09;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;11 a 15 años;Casado (a);NO;1;Comandante no postula;1;En la unidad no se divulga;SI;1;La unidad  no las  realiza  ;2; Poco presupuesto en la unidad para estas actividades;SI;1;No se divulgan;SI;1;No lo divulgan ;SI;2;No cumple expectativas  ;SI;2; Desinformación;SI;3;Mala infraestructura;NO;2;No cumple expectativas;2;2;2;Desconocimiento de la realización de las actividades;Más divulgación 
23375;9/09/2024 11:06;9/09/2024 11:10;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Suboficial;;;6 a 10 años;Unión libre;NO;3;Comandante no postula;1;Los comandantes no los entregan ;NO;3;No asisto por exceso de carga laboral;3;No asisten por exceso de carga laboral;NO;3;No se divulgan;NO;3; Planta física;NO;3; No los conoce;NO;3; Desinformación;SI;4;;NO;3; Poca variedad cursos;3;3;2;Exceso de carga laboral ;
23376;9/09/2024 11:02;9/09/2024 11:11;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);SI;2;Poco tiempo en la unidad ;1;Poco tiempo en la unidad ;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;Necesidades operacionales o actos del servicio;
23377;9/09/2024 11:04;9/09/2024 11:15;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;11 a 15 años;Casado (a);SI;2;Comandante no postula;2;Los encargados no postulan;NO;2;La unidad  no las  realiza  ;2; Poco presupuesto en la unidad para estas actividades;NO;2;No se divulgan;NO;2;;NO;2; No los conoce;SI;2;Mala atención;NO;2;Poca disponibilidad  ;NO;2;No;2;2;2;Desconocimiento de la realización de las actividades;Mejorar la información 
23378;9/09/2024 11:08;9/09/2024 11:15;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;11 a 15 años;Casado (a);SI;3;Desconocen los Procesos en Asignaturas Exigentes ;3;Falta Motivación ;SI;3;Falta de Tiempo y Cansancio ;3;Cansancio ;SI;3;Cansancio Mental y Físico ;SI;3;Capacidad ;SI;3;Muy Ocupado ;SI;3;Hasta el Momento No lo he Requerido ;NO;3;Poca disponibilidad  ;NO;3;Desconozco ese Aspecto al Detalle ;4;4;3;Responsabilidades personales o familiares;Apoyar Económicamente los Estudios de los HIJOS e Hijas de los CIVILES a Bordo
23379;9/09/2024 11:11;9/09/2024 11:16;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;11 a 15 años;Soltero (a);NO;1;Poco tiempo en la institución;1;Los encargados no postulan;NO;1;No asisto por exceso de carga laboral;1;No asisten por exceso de carga laboral;NO;1;No se divulgan;NO;1;Desconozco ;NO;1; No los conoce;SI;4;Si;NO;1;Poca disponibilidad  ;NO;1; Poca variedad cursos;1;1;1;Exceso de carga laboral ;Que actividades?
23380;9/09/2024 11:01;9/09/2024 11:17;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);SI;2;Comandante no postula;2;En la unidad no se divulga;SI;3;No asisto por exceso de carga laboral;4;No asisten por exceso de carga laboral;SI;3;No se divulgan;NO;2;Nunca e tenido hijos en el colegio naval;NO;2; No los conoce;SI;3;Mala atención;NO;3;Poca disponibilidad  ;NO;2; Poca variedad cursos;2;3;1;Exceso de carga laboral ;??
23381;9/09/2024 11:16;9/09/2024 11:20;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Suboficial;;;16 a 20 años;Separado / Divorciado (a);SI;3;Comandante no postula;4;;SI;4;;4;;SI;3; No son apropiadas;SI;3;Calidad de docentes  ;SI;3;No cumple expectativas  ;SI;3;Mala atención;SI;3;Mala infraestructura;SI;4;;4;4;3;Necesidades operacionales o actos del servicio;
23382;9/09/2024 11:16;9/09/2024 11:20;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;Creo que el encargado hace bien su trabajo 
23383;9/09/2024 11:17;9/09/2024 11:21;anonymous;;Comité N° 2. FNC;;CGFNC;;;;;;;;;;;;;;;Infante de Marina Profesional;;;;16 a 20 años;Casado (a);SI;5;;4;;SI;4; ;5;;SI;5;;SI;5;;SI;5;;SI;5;Mala atención;SI;5;;SI;5;;5;5;5;Exceso de carga laboral ;
23384;9/09/2024 11:05;9/09/2024 11:21;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);SI;1;Participó pero no he sido favorecido con incentivo o reconocimiento ;1; ;SI;4;No asisto por exceso de carga laboral;5;No asisten por exceso de carga laboral;SI;5;Si he asistido. ;SI;5;B/ n;NO;5; No los conoce;SI;5; Desinformación;SI;5;No los he utilizado ;SI;2;No cumple expectativas;5;5;3;Se dio prioridad a otros grados o categorías;Gracias 
23385;9/09/2024 11:12;9/09/2024 11:22;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);NO;3;Comandante no postula;1;Los encargados no postulan;NO;3;No asisto por exceso de carga laboral;4;;NO;4;;NO;4;;SI;4;;SI;4;;SI;4;;SI;5;;4;3;3;Responsabilidades personales o familiares;
23386;9/09/2024 11:08;9/09/2024 11:23;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;0 a 5 años;Unión libre;SI;3;Poco tiempo en la institución;1;Los comandantes no los entregan ;SI;3;Son raras las veces que lo hacen ;3;Son raras las veces que lo hacen ;SI;1;No hacen;SI;5;Calidad de docentes  ;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
23387;9/09/2024 11:18;9/09/2024 11:24;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;21 años o más;Unión libre;SI;3;No lo han entregado ;2;No me lo han entregado;SI;4;.;3;.;NO;1;;NO;1;.;SI;4;;SI;1; Desinformación;NO;1;.;NO;1;.;3;3;3;No he tenido dificultades;.
23388;9/09/2024 11:20;9/09/2024 11:26;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;UBAEN;;;Infante de Marina Profesional;;;;16 a 20 años;Casado (a);SI;3;;4;;SI;4;;4;;SI;4;;SI;5;;SI;4;;SI;4;;SI;4;;SI;4;;4;5;4;Desinterés personal en participar;
23389;9/09/2024 11:13;9/09/2024 11:27;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Unión libre;SI;4;.;4;.;NO;4;No asisto por exceso de carga laboral;4;.;NO;4;.;NO;4;.;NO;4; No los conoce;SI;4; Desinformación;SI;4;.;SI;4; Poca variedad cursos;4;4;2;Desconocimiento de la realización de las actividades;.
23390;9/09/2024 11:19;9/09/2024 11:28;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;0 a 5 años;Casado (a);NO;1;Permisos;1;;NO;3; Me encuentro en el desarrollo operaciones;4;;NO;3;;NO;2;N/A;NO;3;N/A;NO;2;N/A;SI;5;;NO;2;;3;3;3;Responsabilidades personales o familiares;Se tenga en cuenta al personal de CHICAR 
23391;9/09/2024 11:04;9/09/2024 11:31;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;11 a 15 años;Casado (a);SI;1;No sé justifica que una Unidad que no es operativa permanezca casi todo el año en acuartelamiento lo cual afecta el poco bienestar en permisos ;1;Un incentivo o reconocimiento no justifica el poco interés de los comandantes para sus subalternos ya que lo que si se evidencia que muy poco les preocupa la vida familiar y personal de sus tripulantes ;SI;1;Los eventos o actividades son gerarquicos ;1;Muchos no asisten por el hecho de que se ve mucha preferencia ;SI;2;Para un grupo determinado de tripulantes ;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;3;3;3;Desinterés personal en participar;Jamás va aver una percepción de bienestar cuando los comandantes creen que con incentivos y reconocimientos institucionales aumenta la moral o las ganas de laborar de los tripulantes, para todos los militares nuestro motor es la familia, cabe resaltar somos militares y cumplimos órdenes pero la empatía del superior con los subalternos es muy despreciable para el buen trabajo que muchos realizan en esta unidad, de los 365 dias del año mas de 200 dias en acuartelamiento no es justo ese es mi punto de vista con el alma mater de la armada
23392;9/09/2024 11:18;9/09/2024 11:32;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Civil ARC;;;6 a 10 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;4;;SI;5;;SI;4;;SI;4;;SI;4;;5;5;5;Responsabilidades personales o familiares;Excelente los programas de bienestar en la unidad 
23393;9/09/2024 11:31;9/09/2024 11:33;anonymous;;Comité N° 1. COARC;SECAR;;;;;;;;;;;;;;;;Oficial;;;;0 a 5 años;Soltero (a);SI;3;Poco tiempo en la institución;3;En la unidad no se divulga;SI;3;La unidad  no las  realiza  ;3;La unidad  no las  realiza  ;SI;3;La unidad  no las  realiza  ;NO;4;;SI;3; No los conoce;SI;3; Desinformación;SI;3;Poca disponibilidad  ;NO;3;Proceso muy corto  ;3;2;3;Desconocimiento de la realización de las actividades;
